producto_id,producto,categoria,precio,cantidad,fecha
L1-003,León Geometrico,Artesanía,250,10,2026-07-11
L1-003,Leon geometrico,Artesanía,250,2,2026-07-11
L2-001,Florero doble, Cerámica,190,5,2026-07-11
G1-001,Buda Gordo,Artesanía,200,2,2026-07-11
L1-002,,Artesanía,150,5,2026-07-11
L1-001,Anubis figura,,350,1,2026-07-11
Y1-013,Mascara silencio,Artesanía,,4,2026-07-11
L1-009,Buda meditando,Artesanía,150,,2026-11-12
N1-009,Busto Apolo,Artesanía,200,8,07-12-2026
,Alas Doradas,Artesanía,160,3,2026-07-11
